,rel_hum,sp_hum,abs_hum,u_wind,v_wind,temp
353,10.0,0.00218,2.08502194603,3.5,-2.60000152588,296.4
354,23.0,0.00242,2.44254994689,-0.4,-1.0,285.1
355,30.0,0.00335,3.36937785365,1.1,1.19999847412,286.0
356,9.0,0.00271,2.58010012334,1.3,-2.0,302.1
357,15.0,0.00295,2.88601591336,-0.2,-1.60000152588,295.0
358,20.0,0.00252,2.47884518368,-2.60000152588,0.9,287.6
359,23.0,0.00276,2.74767232762,-0.500001525879,2.2,287.0
360,8.0,0.00288,2.63994633346,0.9,-0.9,304.7
361,21.0,0.00464,4.40360687426,1.9,-0.900001525879,296.5
362,28.0,0.00375,3.80189129982,-2.4,-1.2,289.1
363,55.0,0.00596,6.02570501217,-0.4,-0.3,285.600024414
364,21.0,0.00553,5.33280027251,5.2,-0.8,299.900024414
365,28.0,0.00542,5.32535130184,2.2,-0.9,294.8
366,40.0,0.00449,4.52042925001,-1.3,-1.0,286.100024414
367,40.0,0.00402,4.11710547765,-1.4,-0.4,284.6
368,18.0,0.00438,4.22701996017,0.899998474121,-2.1,298.5
369,24.0,0.00416,4.03873171413,-0.500001525879,-1.9,292.7
370,29.0,0.00341,3.44321315726,-4.4,-1.1,286.9
371,36.0,0.00349,3.54588708382,-3.7,1.7,283.9
372,14.0,0.00339,3.25092234357,2.6,0.0,298.3
373,19.0,0.00324,3.21617079809,2.7,-1.9,292.800024414
374,42.0,0.00445,4.54452810054,1.3,-1.1,285.4
375,35.0,0.00317,3.29816260674,-1.8,-0.1,283.2
376,13.0,0.00294,2.85294424067,-2.1,-1.30000152588,297.300024414
377,19.0,0.00335,3.35073767598,-3.2,-0.7,293.5
378,43.0,0.00508,5.16862009899,-8.0,-0.700001525879,287.1
379,39.0,0.00422,4.29940511001,-9.1,-0.8,285.7
380,30.0,0.00632,6.113616679,-11.6,0.8,296.0
381,44.0,0.00726,7.23205832327,-10.2000015259,0.6,292.3
382,71.0,0.00768,7.77862557136,-7.9,-0.800001525879,285.6
383,86.0,0.00796,8.15557616621,-5.5,0.699998474121,283.3
384,50.0,0.00839,8.26683013716,-3.1,-0.1,292.400024414
385,56.0,0.00807,7.97937627211,-1.9,0.2,289.9
386,77.0,0.00768,7.82661351527,1.7,0.9,284.4
387,73.0,0.00694,7.05540883767,2.8,2.3,283.6
388,28.0,0.0053,5.14339147728,3.7,-0.8,294.2
389,30.0,0.00422,4.17300755979,2.5,0.2,289.5
390,45.0,0.0042,4.26745264511,0.2,-1.2,283.3
391,58.0,0.00566,5.78523947581,-0.3,0.8,284.1
392,42.0,0.0055,5.49919208649,0.0,-0.4,288.5
393,47.0,0.0055,5.61480866949,-2.6,1.99999847412,287.0
394,87.0,0.00693,7.16813653848,-1.0,1.69999847412,281.1
395,98.0,0.00778,8.12667418801,0.6,0.399998474121,281.2
396,96.0,0.0074,7.75791818716,1.6,-1.2,280.8
397,99.0,0.00755,7.94877494855,-0.1,-0.800001525879,280.7
398,95.0,0.00667,7.00908371475,-2.2,-0.2,279.4
399,85.0,0.00548,5.75748957238,-4.8,-0.700001525879,278.1
400,91.0,0.00587,6.16390060101,-5.4,-0.4,278.1
401,88.0,0.00582,6.12014979577,-3.8,0.8,278.5
402,92.0,0.00517,5.45382521313,-5.9,-0.3,276.1
403,96.0,0.00531,5.65280702086,-6.0,0.1,276.0
404,79.0,0.007,7.25771628731,-5.9,0.7,282.8
405,85.0,0.00678,7.00335179047,-2.4,1.79999847412,281.1
406,95.0,0.00575,6.10229343837,-4.7,0.0999984741211,277.3
407,94.0,0.00532,5.64774199336,-5.5,0.0999984741211,276.3
408,63.0,0.00693,7.03195819456,-6.6,0.3,285.9
409,83.0,0.00737,7.57683082955,-5.0,1.5,282.7
